model_unique_name,out,n_samples,val_metric
R50_MRI_feature_extraction,sex,250,0.5423031727379554
R50_MRI_feature_extraction,sex,250,0.6051703877790834
R50_MRI_feature_extraction,sex,250,0.5431282346175963
R50_MRI_finetuning,sex,250,0.850201265094882
R50_MRI_finetuning,sex,250,0.9891304347826086
R50_MRI_finetuning,sex,250,0.9864864864864864
R50_Self_supervised_feature_extraction,sex,250,0.5529039677975848
R50_Self_supervised_feature_extraction,sex,250,0.5643360752056404
R50_Self_supervised_feature_extraction,sex,250,0.5943008225616921
R50_Self_supervised_finetuning,sex,250,0.7507188039102932
R50_Self_supervised_finetuning,sex,250,0.8128672150411281
R50_Self_supervised_finetuning,sex,250,0.8375440658049353
R50_baseline,sex,250,0.8550891316848763
R50_baseline,sex,250,0.7702702702702703
R50_baseline,sex,250,0.8454759106933021
R50_videos_feature_extraction,sex,250,0.6503737780333525
R50_videos_feature_extraction,sex,250,0.7188601645123385
R50_videos_feature_extraction,sex,250,0.7670387779083432
R50_videos_finetuning,sex,250,0.871477860839563
R50_videos_finetuning,sex,250,1.0
R50_videos_finetuning,sex,250,0.9782608695652174
R50_MRI_feature_extraction,sex,2000,0.5684264897781645
R50_MRI_feature_extraction,sex,2000,0.5932502180866531
R50_MRI_feature_extraction,sex,2000,0.5921097941133826
R50_MRI_finetuning,sex,2000,0.945827896186748
R50_MRI_finetuning,sex,2000,0.9912008844425112
R50_MRI_finetuning,sex,2000,0.9953293108461764
R50_Self_supervised_feature_extraction,sex,2000,0.6132240466869654
R50_Self_supervised_feature_extraction,sex,2000,0.6381397709148906
R50_Self_supervised_feature_extraction,sex,2000,0.6332509450421634
R50_Self_supervised_finetuning,sex,2000,0.8981305277656952
R50_Self_supervised_finetuning,sex,2000,0.9184428012179208
R50_Self_supervised_finetuning,sex,2000,0.9669780459435882
R50_baseline,sex,2000,0.9402774757140786
R50_baseline,sex,2000,0.960979411338263
R50_baseline,sex,2000,0.9607262285548124
R50_videos_feature_extraction,sex,2000,0.7275536465129766
R50_videos_feature_extraction,sex,2000,0.7445356676816007
R50_videos_feature_extraction,sex,2000,0.7769337016574586
R50_videos_finetuning,sex,2000,0.9552432216905902
R50_videos_finetuning,sex,2000,0.994223031752936
R50_videos_finetuning,sex,2000,0.9967105263157896
R50_MRI_feature_extraction,sex,8000,0.5854495412844036
R50_MRI_feature_extraction,sex,8000,0.6166361458962513
R50_MRI_feature_extraction,sex,8000,0.6021624069354214
R50_MRI_finetuning,sex,8000,0.9814339482869794
R50_MRI_finetuning,sex,8000,0.9799071277346508
R50_MRI_finetuning,sex,8000,0.9788098651115672
